feature,importance
years_experience,0.32649415804179654
experience_level_Executive,0.251287104214063
experience_level_Senior-Level,0.06901981758490273
company_location_Switzerland,0.047891946949980425
company_location_Denmark,0.035675123405397566
company_size_Large (>250),0.035467063128059015
company_location_infrequent_sklearn,0.03309982457723105
company_location_United States,0.023505964035200756
company_location_United Kingdom,0.012524571753570817
company_location_Netherlands,0.012012479592736278
company_location_Singapore,0.011939892627800573
company_location_Germany,0.010796044611930256
company_location_Sweden,0.01074957156869235
company_location_Australia,0.01023557392208317
job_description_length,0.01010821207205293
company_location_France,0.009240344932797512
experience_level_Entry-Level,0.009237506004950283
benefits_score,0.009155921429131996
company_size_Small (<50),0.008959339469461777
company_location_Canada,0.008433604063786258
experience_level_Mid-Level,0.008083489550788008
company_size_Medium (50-250),0.0031681136587297528
skills_count,0.0025207944588301824
company_location_South Korea,0.0019036132782432364
company_location_Finland,0.0015955876900117499
company_location_Austria,0.0015518101208132598
company_location_Ireland,0.0015286609436643984
company_location_India,0.001523009443277748
company_location_China,0.0015208010402401346
company_location_Israel,0.0014670618816833324
company_location_Japan,0.0014392573824509411
employment_type_Full-Time,0.001285651581229904
remote_ratio,0.0012217318913146425
employment_type_Part-Time,0.0011698083957063724
education_required_PhD,0.0010543972389882154
employment_type_Freelance,0.0010334583630611637
education_required_Bachelor,0.0010161327161870518
